ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_PROD_PRESC,P_PROD_PRIM,P_PROD_SEC,P_PROD_BACH,P_PROD_TEC,P_PROD_LIC,P_PROD_POSTG,P_PROD_NOSABE,P_PROD_SINEST
29 TLA,Ziltlaltépec de Trinidad Sánchez Santos,Hombres,    Hombres,0.0,1791.0,63.09324399776661,72.3915050784857,0.6377551020408163,50.38265306122449,26.53061224489796,7.01530612244898,1.1479591836734695,5.739795918367347,0.3826530612244898,0.12755102040816327,8.035714285714286
29 TLA,Ziltlaltépec de Trinidad Sánchez Santos,Mujeres,    Mujeres   ,0.0,572.0,69.4055944055944,27.60849492151431,1.0033444816053512,57.525083612040135,16.722408026755854,3.3444816053511706,1.6722408026755853,5.68561872909699,0.0,0.0,14.046822742474916
29 TLA,Tzompantepec,,  Tzompantepec,825.0,825.0,78.42424242424242,1.0690514260216413,0.0,44.69565217391305,31.130434782608695,11.478260869565217,2.782608695652174,6.434782608695652,0.6956521739130435,0.17391304347826086,2.608695652173913
29 TLA,Tzompantepec,Hombres,    Hombres,0.0,633.0,77.09320695102686,74.26086956521739,0.0,44.730679156908664,29.508196721311474,13.114754098360656,1.405152224824356,7.7283372365339575,0.702576112412178,0.234192037470726,2.576112412177986
29 TLA,Tzompantepec,Mujeres,    Mujeres   ,0.0,192.0,82.8125,25.73913043478261,0.0,44.5945945945946,35.810810810810814,6.756756756756757,6.756756756756757,2.7027027027027026,0.6756756756756757,0.0,2.7027027027027026
29 TLA,Xaloztoc,,  Xaloztoc,1349.0,1347.0,83.14773570898292,1.8964042687688245,0.0,40.78431372549019,35.0,11.666666666666666,2.9411764705882355,5.784313725490196,0.29411764705882354,0.0,3.5294117647058822
29 TLA,Xaloztoc,Hombres,    Hombres,0.0,1087.0,82.24471021159154,78.52941176470588,0.0,37.328339575530585,37.328339575530585,12.983770287141073,3.1210986267166043,6.117353308364544,0.37453183520599254,0.0,2.746566791510612
29 TLA,Xaloztoc,Mujeres,    Mujeres   ,0.0,260.0,86.92307692307692,21.470588235294116,0.0,53.42465753424658,26.484018264840184,6.8493150684931505,2.2831050228310503,4.566210045662101,0.0,0.0,6.392694063926941
29 TLA,Xaltocan,,  Xaltocan,2010.0,2010.0,58.00995024875622,1.8740936303127207,0.1984126984126984,42.46031746031746,32.242063492063494,10.912698412698413,2.380952380952381,6.944444444444445,0.2976190476190476,0.0,4.563492063492063
29 TLA,Xaltocan,Hombres,    Hombres,0.0,1604.0,58.790523690773064,79.56349206349206,0.12468827930174564,43.64089775561097,30.423940149625935,11.221945137157107,1.9950124688279303,7.107231920199501,0.24937655860349128,0.0,5.236907730673317
