ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_SI_INDIG,P_INDIG_DIAL,P_INDIG_NO_DIAL,P_NO_INDIG,P_NO_INDIG_DIAL,P_NO_IND_NO_DIAL,P_PROD_AFRO
20 OAX,San Sebastián Tecomaxtlahuaca,Hombres,    Hombres,0.0,495.0,98.58585858585859,66.34615384615384,95.03105590062111,48.148148148148145,51.851851851851855,4.968944099378882,16.666666666666668,83.33333333333333,0.2070393374741201
20 OAX,San Sebastián Tecomaxtlahuaca,Mujeres,    Mujeres   ,0.0,252.0,98.01587301587301,33.65384615384615,93.87755102040816,48.69565217391305,51.30434782608695,6.122448979591836,26.666666666666668,73.33333333333333,0.40816326530612246
20 OAX,San Sebastián Teitipac,,  San Sebastián Teitipac,270.0,270.0,90.74074074074075,0.0688259585632434,92.3076923076923,50.925925925925924,49.074074074074076,7.6923076923076925,5.555555555555555,94.44444444444444,0.0
20 OAX,San Sebastián Teitipac,Hombres,    Hombres,0.0,205.0,93.17073170731707,77.35042735042735,92.81767955801105,54.76190476190476,45.23809523809524,7.18232044198895,7.6923076923076925,92.3076923076923,0.0
20 OAX,San Sebastián Teitipac,Mujeres,    Mujeres   ,0.0,65.0,83.07692307692308,22.64957264957265,90.56603773584905,37.5,62.5,9.433962264150944,0.0,100.0,0.0
20 OAX,San Sebastián Tutla,,  San Sebastián Tutla,87.0,85.0,92.94117647058823,0.023236114215795852,86.07594936708861,8.823529411764707,91.17647058823529,13.924050632911392,0.0,100.0,1.2658227848101267
20 OAX,San Sebastián Tutla,Hombres,    Hombres,0.0,70.0,94.28571428571429,83.54430379746836,87.87878787878788,8.620689655172415,91.37931034482759,12.121212121212121,0.0,100.0,1.5151515151515151
20 OAX,San Sebastián Tutla,Mujeres,    Mujeres   ,0.0,15.0,86.66666666666667,16.455696202531644,76.92307692307692,10.0,90.0,23.076923076923077,0.0,100.0,0.0
20 OAX,San Simón Almolongas,,  San Simón Almolongas,688.0,688.0,79.50581395348837,0.1497111662764568,31.041257367387033,1.8987341772151898,98.10126582278481,68.95874263261297,4.273504273504273,95.72649572649573,0.19646365422396855
20 OAX,San Simón Almolongas,Hombres,    Hombres,0.0,537.0,78.95716945996276,76.62082514734774,30.76923076923077,1.6666666666666667,98.33333333333333,69.23076923076923,4.074074074074074,95.92592592592592,0.2564102564102564
