ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
08 CHI,Naranja,Naranja,443.0,443.0,60.4491,2.0,0.0046167,45.0,26.3053633,3.0,1.1071,13.0,33.032
08 CHI,Nopal verdura,Nopal verdura,105.0,104.0,324.4451,0.0,0.0,17.0,23.3888999,8.0,209.5051,15.0,91.5511
08 CHI,Nuez,Nuez,8550.0,8543.0,126331.1956,3022.0,8.6581698,3901.0,272.1101942,3113.0,80.5819,7089.0,125969.8456
08 CHI,Papaya,Papaya,290.0,290.0,117.2952,10.0,0.4333,59.0,45.1706,0.0,0.0,9.0,71.6913
08 CHI,Pasto cultivado,Pasto cultivado,282.0,282.0,14387.4221,13.0,2.03,1.0,0.016,192.0,5592.5508,54.0,8792.8253
08 CHI,Plátano,Plátano,49.0,49.0,61.385,0.0,0.0,26.0,2.8607714,0.0,0.0,4.0,58.5242
08 CHI,Uva,Uva,82.0,77.0,2032.6151,13.0,0.2365133,23.0,25.970923,13.0,0.0555,32.0,2006.3523
09 CDM,,Ciudad de México,3972.0,3165.0,,1866.0,,2188.0,,641.0,,2216.0,
09 CDM,Anuales,Anuales,,,,,,,,,,,
09 CDM,Amaranto,Amaranto,219.0,168.0,186.0439,109.0,2.0159511,74.0,14.071309,0.0,0.0,133.0,169.9565
09 CDM,Arroz,Arroz,,,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,,0.0037
09 CDM,Avena forrajera,Avena forrajera,1442.0,1442.0,82420.2321,113.0,28.7338551,36.0,16.5719,885.0,15367.0902,767.0,67007.8362
09 CDM,Brócoli,Brócoli,394.0,376.0,3507.3377,29.0,2.0964697,148.0,8.6412299,10.0,1.2579,344.0,3495.342
09 CDM,Calabaza/calabacita,Calabaza/calabacita,1194.0,1171.0,1590.5705,503.0,67.6620463,939.0,753.6696766,47.0,26.2048,679.0,743.0341
09 CDM,Cebada grano,Cebada grano,6.0,6.0,21.4389,4.0,1.1567672,1.0,0.0003,2.0,5.3753,4.0,14.9065
09 CDM,Cebolla,Cebolla,62.0,47.0,62.5597,8.0,0.035066,26.0,0.9907533,1.0,0.5517,37.0,60.9822
09 CDM,Chile,Chile,142.0,110.0,15.5905,43.0,0.2681786,78.0,1.2068426,0.0,0.0,76.0,14.1157
09 CDM,Frijol,Frijol,831.0,831.0,146.7417,593.0,13.6421524,741.0,71.6010049,9.0,1.9966,214.0,59.5019
09 CDM,Jitomate (Tomate rojo),Jitomate (Tomate rojo),182.0,91.0,56.3103,19.0,0.0776007,69.0,5.3651422,3.0,0.2914,56.0,50.5764
09 CDM,Maíz forrajero,Maíz forrajero,131.0,131.0,2189.8517,61.0,10.0147787,38.0,9.8330287,92.0,1457.8801,36.0,712.1238
09 CDM,Maíz grano amarillo,Maíz grano amarillo,104.0,104.0,231.8273,74.0,3.4602744,81.0,73.6487117,31.0,68.3452,42.0,86.3732
09 CDM,Maíz grano blanco,Maíz grano blanco,2751.0,2751.0,3305.2597,2173.0,124.0825545,2332.0,872.5375269,614.0,745.2941,1261.0,1563.3443
09 CDM,Papa,Papa,126.0,123.0,14107.0742,53.0,96.4479813,89.0,19.2972736,27.0,236.1712,81.0,13755.1577
09 CDM,Sorgo forrajero,Sorgo forrajero,,,9.6,0.0,0.0,0.0,0.0,0.0,0.0,,9.6
09 CDM,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),85.0,79.0,53.5511,29.0,3.3870934,61.0,4.1245054,0.0,0.0,48.0,46.0396
09 CDM,Trigo grano,Trigo grano,,,8.175,,3.199,,0.026,,2.4,,2.55
